id,left_,right_
89_4961596945617675850_7740649044487545827,"EVERBRIDGE, INC.",Everbridge
91_4383602676606831504_-8785278865311249145,PT Hanjaya Mandala Sampoerna Tbk,Hanjaya Mandala Sampoerna Tbk PT
92_-1343112806603931022_872250258228676473,Edison S.p.a,Edison
93_1635935348351339344_8273780306016870178,First Solar,First Solar Inc
94_-5934530382745793535_5513177472770477881,Microsoft Corp,Microsoft
95_7253189561215690730_105083946020344429,Chevron Corporation,Chevron
96_96018876868448921_6363005305502449867,Texas Instruments Inc,Texas Instruments
99_-238542717750255551_8796505095865739886,Japan Tobacco,Japan Tobacco Inc
100_885385100911703922_885385100911703922,Bank Albilad,Bank Albilad
101_-2567941796612873824_-6609143452324202534,Japan Airlines (JAL),Japan Airlines Co. Ltd
102_-6360184544941026056_4238619171386729852,Cheniere Energy Partners LP,"Cheniere Energy, Inc."
104_-4010916964793294715_-2540307707281057596,Varonis,Varonis Systems
105_-6638556147157091363_2916939643561213937,Elite Material,Elite Material Co Ltd
106_3679912901775756719_6626153235342116833,Divido,Divido Financial Services
108_2058258011404398767_5555631746422347737,Mekonomen AB,Mekonomen Ab (publ)
109_-2517835283768668201_4907626045079473560,JPMorgan Global Growth & Income plc,Jpmorgan Global Growth & Income
110_-5865890897615651560_5737522368257753979,Lundin Gold Inc.,Lundin Gold
111_-3114196057472050665_3602565277161787718,Truist Financial,Truist Financial Corporation
113_-4196128810704528529_7503509479119700316,Hexo,HEXO Corp.
114_-4214477166169378161_-4214477166169378161,COMPAGNIA AEREA ITALIANA SPA,COMPAGNIA AEREA ITALIANA SPA
115_7181964410677977705_1864482728648421073,Zynga Inc.,Zynga
116_2945688637228148349_5863794542605013256,Monster Beverage,Monster Beverage Corporation
117_2779570659388053421_2779570659388053421,METSA BOARD ITALIA SRL,METSA BOARD ITALIA SRL
118_-335939323897005926_864165405103120778,Sociedad Quimica y Minera de Chile SA,Sociedad Quimica Y Minera De Chile
119_-1236083167346969532_-1236083167346969532,U.C.I.T. SRL,U.C.I.T. SRL
120_1854644354146880002_5840372924881516897,Jubilee Enterprise Public Company Ltd,Jubilee Industries Holdings Ltd
123_-3084026614209452032_2181013649820557719,Deutsche Bank Spa,Deutsche Bank AG
124_5713531042313184800_-2392624536081037171,Hyundai Mobis Co Ltd,Hyundai Mobis
125_7415713725194223505_7415713725194223505,Air Canada,Air Canada
126_-3918018525342233618_5256623445587416168,Applegreen plc,Applegreen
127_2857125201883292587_151129569760602501,Taiheiyo Cement Corporation,Taiheiyo Cement Corp
128_-3415707418379948312_-3415707418379948312,Trapizzino,Trapizzino
129_2512626234229460199_2512626234229460199,Kiocl,Kiocl
131_741073932307819720_6761179643908812826,Swiss Life Holding,Swiss Life
133_-8211021114094927031_3381721378962446350,Shikoku Electric Power Co Inc,"Shikoku Electric Power Company, Inc."
135_3574335513772906138_4924149146091441025,Korea Gas,Korea Gas Corporation
138_4752745691830551649_4752745691830551649,Xpel,Xpel
139_6864862342249738098_-7200228037989046662,General Dynamics Corporation,General Dynamics
140_715903855253305486_-5115158466266635049,C&C Group plc,C&C Group
141_1155716383498823669_3297098623264703455,BITTNET,Bittnet Systems
142_-1059400950695839838_1744772056280607549,Jil Sander,JIL SANDER SPA
143_8857814602243661541_8857814602243661541,La Vida Europe,La Vida Europe
