id,left_,right_
92_2007956218304372315_8644771542437729096,Banque Cantonale De Geneve Sa,Banque Cantonale de Genève SA
94_-4859604384034979797_-8961339643612424207,Arch Resources Inc,Arch Resources
95_3768796996502573100_1670810793709920873,Semapa Sociedade de Investimento e Gestao SGPS SA,Semapa - Sociedade De Investimento E Gestao Sgps
96_-5955490165909316386_-5955490165909316386,METSA BOARD ITALIA SRL,METSA BOARD ITALIA SRL
98_5293017632742185368_-6702300701149948408,Taiheiyo Cement Corp,Taiheiyo Cement Corporation
99_2250729059048794359_2571487133795634196,Wustenrot & Wurttembergische AG,Wustenrot & Wurttembergische Ag
100_5520813472921177714_9101816210623693005,Prada S.p.A.,Prada
101_-8379099489822148246_6200563424729453360,Microsoft Corp,Microsoft
102_1308353077705015306_2473578162536224671,Hyundai Mobis Co Ltd,Hyundai Mobis
103_8686499256001553209_-282665578844888602,"United Super Markets Holdings, Inc.",United Super Markets Holdings
104_7789752438287888326_-2710529478494215699,Spotify Technology,Spotify Technology SA
105_4177949751334433621_-5795624128950621470,Nanofilm Technologies International,Nanofilm Technologies International Ltd
106_-5307560935118399281_4066324033568902249,BITTNET,Bittnet Systems
107_-44448952272301070_9058316431078083117,Corporación América Airports,Corporacion America Airports
108_2636637547061564464_7392634010677005489,Ingles Markets,Ingles Markets Inc
109_7628675039240134283_3158601804047694842,Xilinx,Xilinx Inc
110_5423320752893567361_5827391309819861328,New China Life Insurance,New China Life Insurance Company
112_7098459077029160414_7098459077029160414,T AND B ASSETS LTD,T AND B ASSETS LTD
114_8046808482543177423_-8810829463391644566,Safran SA,Safran
115_6315823592356976740_5440298670081243010,Japan Airlines (JAL),Japan Airlines Co. Ltd
116_7684339384803523416_4862510875208558412,Jpmorgan Global Growth & Income,JPMorgan Global Growth & Income plc
117_-3612182224178961516_-3612182224178961516,U.C.I.T. SRL,U.C.I.T. SRL
118_5186527118305337572_856341635617100451,Leyard Optoelectronic,Leyard Optoelectronic Co. Ltd
